Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
43459,Funko! POP VINYL The Purge Wvng God(Anarchy),Funko!,SalgsOrdre DK,35.12,0,6,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
43459,Funko! POP VINYL The Purge Wvng God(Anarchy),Funko!,Stock,35.12,0,240,240.0,240.0,240,240.0,240,240.0,240,240,240,240,240.0
43500,Funko! POP VINYL Movies: Dark Fate - T-800,Funko!,Invoiced DK,27.32667,108,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,108.0
43500,Funko! POP VINYL Movies: Dark Fate - T-800,Funko!,SalgsOrdre DK,27.32667,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
43502,Funko! POP VINYL Dark Fate Sarah Connor w/ Chase,Funko!,Invoiced DK,27.32636,18,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,18.0
43502,Funko! POP VINYL Dark Fate Sarah Connor w/ Chase,Funko!,SalgsOrdre DK,27.32636,0,72,0.0,0.0,0,0.0,0,0.0,0,0,0,0,72.0
43502,Funko! POP VINYL Dark Fate Sarah Connor w/ Chase,Funko!,Stock,27.32636,66,-6,-6.0,-6.0,-6,-6.0,-6,-6.0,-6,-6,-6,-6,-6.0
43503,Funko! POP VINYL Dark Fate REV-9,Funko!,Invoiced DK,27.32667,18,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,18.0
43531,Funko! POP VINYL TV: Walking Dead - Daryl,Funko!,Købsordre,29.35608,204,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,204.0
43531,Funko! POP VINYL TV: Walking Dead - Daryl,Funko!,Stock,29.35608,204,204,204.0,204.0,204,204.0,204,204.0,204,204,204,204,204.0
43543,Funko! POP VINYL Icons: Albert Einstein,Funko!,Stock,29.355,6,6,6.0,6.0,6,6.0,6,6.0,6,6,6,6,6.0
43574,Funko! POP VINYL edi Fallen Order Inquisitor,Funko!,Købsordre,35.12,0,102,0.0,0.0,0,0.0,0,0.0,0,0,0,0,102.0
43574,Funko! POP VINYL edi Fallen Order Inquisitor,Funko!,SalgsOrdre DK,35.12,0,12,0.0,0.0,0,0.0,0,0.0,0,0,0,0,12.0
43574,Funko! POP VINYL edi Fallen Order Inquisitor,Funko!,Stock,35.12,0,90,90.0,90.0,90,90.0,90,90.0,90,90,90,90,90.0
43668,Funko! POP VINYL HP: S7 Cedric Diggory (Yule),Funko!,Købsordre,29.21833,102,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,102.0
43668,Funko! POP VINYL HP: S7 Cedric Diggory (Yule),Funko!,Stock,29.21833,102,102,102.0,102.0,102,102.0,102,102.0,102,102,102,102,102.0
